 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-23T08:43:06.413
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-23T08:40:30.474
 Solar longitude (130 km)                     [deg] :      202.27
 Planet to Sun distance (130 km)          [10^6 km] :     107.752
 North planetary latitude (130 km)            [deg] :      -51.52
 East planetary longitude (130 km)            [deg] :       48.74
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.00
 Sub-solar east planetary longitude (130 km)  [deg] :       99.48
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.38
 Solar zenith angle (130 km)                  [deg] :       65.96
 Electron density (130 km)               [10^6/m^3] :   161355.97
 
=============================================================================

Altitude	ELECTRON NUMBER DENSITY
1976.205	3974.97
1975.834	4421.6
1975.465	4555.24
1975.095	4474.35
1974.724	4576.34
1974.357	4358.3
1973.987	3860.67
1973.618	3517.79
1973.247	3419.32
1972.878	3211.82
1972.508	2911.14
1972.136	2942.79
1971.768	2807.39
1971.397	2508.47
1971.027	2381.86
1970.656	2300.98
1970.289	1949.3
1969.918	1636.3
1969.546	1733.01
1969.175	1982.71
1968.806	2026.67
1968.436	1949.3
1968.064	2082.93
1967.697	1915.89
1967.326	1490.36
1966.957	1247.7
1966.585	1172.09
1966.217	938.22
1965.846	764.14
1965.475	931.19
1965.104	1203.74
1964.735	1221.32
1964.365	1054.27
1963.993	1110.54
1963.626	936.46
1963.255	630.5
1962.885	583.02
1962.514	774.69
1962.144	813.37
1961.774	753.59
1961.402	1050.76
1961.033	1209.01
1960.662	1201.98
1960.292	1332.1
1959.921	1465.74
1959.554	1277.59
1959.183	1073.62
1958.811	1267.04
1958.441	1659.16
1958.071	1850.83
1957.701	1903.58
1957.329	2204.26
1956.961	2285.15
1956.59	2183.16
1956.221	2214.81
1955.85	2242.95
1955.482	1959.85
1955.112	1699.6
1954.74	1875.44
1954.369	2220.09
1954	2272.84
1953.631	2091.73
1953.259	2109.31
1952.892	1901.82
1952.521	1532.56
1952.152	1360.23
1951.781	1376.06
1951.412	1237.15
1951.042	1022.62
1950.669	1223.08
1950.301	1361.99
1949.929	1418.26
1949.558	1752.36
1949.186	2204.26
1948.819	2300.98
1948.449	2221.85
1948.078	2332.63
1947.708	2501.43
1947.338	2487.37
1946.969	2394.17
1946.597	2561.22
1946.229	2469.78
1945.859	2163.82
1945.489	2086.45
1945.117	2128.65
1944.75	1894.79
1944.38	1613.44
1944.009	1609.93
1943.639	1689.05
1943.269	1583.55
1942.899	1455.19
1942.526	1715.43
1942.158	1819.18
1941.787	1696.09
1941.418	1652.13
1941.048	1704.88
1940.679	1520.25
1940.309	1200.22
1939.937	1235.39
1939.569	1165.05
1939.198	1017.35
1938.827	1149.23
1938.455	1437.6
1938.087	1499.15
1937.717	1500.91
1937.346	1718.95
1936.976	1945.78
1936.607	1908.85
1936.237	1799.83
1935.864	2021.39
1935.497	2074.14
1935.125	1959.85
1934.756	2017.87
1934.385	2111.07
1934.017	1914.13
1933.647	1704.88
1933.276	1784.01
1932.906	1921.16
1932.536	1833.24
1932.166	1662.68
1931.794	1815.66
1931.426	1812.14
1931.055	1674.99
1930.685	1775.22
1930.314	2082.93
1929.945	2139.2
1929.576	1980.95
1929.204	2082.93
1928.836	2056.56
1928.464	1972.16
1928.094	2184.92
1927.722	2526.05
1927.355	2527.81
1926.985	2353.73
1926.614	2311.53
1926.245	2249.98
1925.876	1979.19
1925.506	1722.46
1925.134	1836.76
1924.766	1755.87
1924.395	1478.05
1924.025	1432.33
1923.653	1585.31
1923.285	1564.21
1922.914	1539.59
1922.543	1769.94
1922.173	2016.12
1921.804	1973.91
1921.434	1824.45
1921.062	1998.53
1920.694	2002.05
1920.323	1873.69
1919.953	1958.09
1919.582	2218.33
1919.214	2191.96
1918.844	1919.4
1918.473	1915.89
1918.105	1782.25
1917.733	1588.83
1917.363	1674.99
1916.992	1896.55
1916.624	1831.48
1916.254	1694.33
1915.882	1827.97
1915.513	1993.26
1915.144	1854.34
1914.774	1555.42
1914.403	1536.07
1914.035	1351.44
1913.664	1082.41
1913.293	1158.02
1912.921	1456.95
1912.553	1527.28
1912.183	1504.42
1911.812	1660.92
1911.442	1766.42
1911.073	1557.17
1910.704	1249.46
1910.332	1316.27
1909.963	1314.52
1909.592	1231.87
1909.222	1391.89
1908.851	1715.43
1908.482	1771.7
1908.112	1645.09
1907.741	1784.01
1907.373	1699.6
1907.002	1435.85
1906.632	1391.89
1906.261	1523.77
1905.893	1476.29
1905.522	1416.5
1905.151	1653.89
1904.781	1940.5
1904.412	1898.3
1904.042	1692.57
1903.671	1750.6
1903.303	1652.13
1902.931	1490.36
1902.561	1632.79
1902.189	1938.75
1901.821	1998.53
1901.451	2026.67
1901.079	2337.9
1900.709	2635.07
1900.341	2545.39
1899.971	2269.32
1899.6	2258.77
1899.232	2102.28
1898.861	1914.13
1898.49	2046.01
1898.119	2424.06
1897.75	2564.74
1897.381	2431.1
1897.01	2473.3
1896.642	2283.39
1896.271	1947.54
1895.901	1898.3
1895.529	2070.63
1895.161	2070.63
1894.791	2038.98
1894.419	2251.74
1894.05	2459.23
1893.681	2346.69
1893.311	2146.24
1892.939	2336.14
1892.571	2431.1
1892.199	2418.79
1891.829	2635.07
1891.457	2983.23
1891.089	3113.35
1890.719	3210.07
1890.347	3588.12
1889.977	3996.07
1889.608	4024.2
1889.239	3837.81
1888.868	3902.87
1888.5	3765.72
1888.129	3501.96
1887.759	3533.61
1887.388	3848.36
1887.018	4029.48
1886.648	4112.12
1886.276	4469.08
1885.909	4497.21
1885.539	4207.08
1885.17	4036.51
1884.799	3989.04
1884.431	3770.99
1884.06	3626.81
1883.689	3829.02
1883.319	4083.99
1882.949	4054.1
1882.58	3862.43
1882.209	3897.6
1881.841	3720
1881.47	3452.72
1881.1	3491.41
1880.728	3690.11
1880.36	3654.94
1879.989	3651.42
1879.617	4062.89
1879.246	4615.02
1878.877	4869.99
1878.508	4836.58
1878.137	4877.03
1877.77	4606.23
1877.4	4157.84
1877.03	4011.89
1876.659	4185.98
1876.289	4265.1
1875.919	4303.79
1875.546	4717.01
1875.178	4952.64
1874.808	4908.68
1874.439	4864.72
