This file contains the electron density obtained by simulating the Venus ionosphere using the 1D Venus Ionosphere Model (VIM)
for the Pre-flare and flare scenario as on the date 22 December, 2013. The model result has been compared with the VeRa electron
density retrieved for the same day. The full VeRa data can be accessed via the https://fip-koeln.de/marsvera-data-archive/?lang=en 
after asking for access to the server.
 
-----------------------------------------------------------------------------
 values at 130 km altitude above aeroid (130 km) for VeRa profile
-----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-22T08:48:37.621
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-22T08:45:59.339
 Solar longitude (130 km)                     [deg] :      200.66
 Planet to Sun distance (130 km)          [10^6 km] :     107.768
 North planetary latitude (130 km)            [deg] :      -51.25
 East planetary longitude (130 km)            [deg] :       47.03
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.93
 Sub-solar east planetary longitude (130 km)  [deg] :       96.40
 Aeroid radius (130 km)                        [km] :    6051.800
 Local true solar time (130 km)               [hrs] :       15.29
 Solar zenith angle (130 km)                  [deg] :       65.15
 Electron density (130 km)               [10^6/m^3] :   192030.12
 
=============================================================================

Height_Model	Ne_Flare	Ne_PreFlare	Alt	VeRa_Ne
109.5	12889.1825	4428.261166	50.071	-9999999.99
109.6	13184.47045	4533.246006	50.076	-9999999.99
109.7	13475.21875	4637.763869	50.082	-9999999.99
109.8	13761.20954	4741.935194	50.086	-9999999.99
109.9	14042.24712	4845.921334	50.093	-9999999.99
110	14318.18423	4949.927716	50.1	-9999999.99
110.1	14588.90672	5054.211122	50.103	-9999999.99
110.2	14854.33831	5159.081197	50.105	-9999999.99
110.3	15114.45631	5264.906099	50.109	-9999999.99
110.4	15369.27801	5372.118444	50.115	-9999999.99
110.5	15618.87511	5481.219774	50.124	-9999999.99
110.6	15863.37307	5592.780953	50.131	-9999999.99
110.7	16102.95343	5707.450074	50.141	-9999999.99
110.8	16337.8523	5825.950619	50.149	-9999999.99
110.9	16568.37434	5949.084519	50.159	-9999999.99
111	16794.88692	6077.730692	50.164	-9999999.99
111.1	17017.8203	6212.843673	50.165	-9999999.99
111.2	17237.688	6355.447667	50.169	-9999999.99
111.3	17455.06019	6506.631776	50.172	-9999999.99
111.4	17670.59268	6667.53893	50.178	-9999999.99
111.5	17885.00902	6839.359107	50.184	-9999999.99
111.6	18099.11192	7023.314239	50.191	-9999999.99
111.7	18313.7735	7220.644166	50.196	-9999999.99
111.8	18529.94346	7432.593669	50.204	-9999999.99
111.9	18748.63925	7660.3916	50.21	-9999999.99
112	18970.94516	7905.245192	50.216	-9999999.99
112.1	19198.0125	8168.316744	50.222	-9999999.99
112.2	19431.04621	8450.710185	50.224	-9999999.99
112.3	19671.29915	8753.465664	50.225	-9999999.99
112.4	19920.07257	9077.544037	50.233	-9999999.99
112.5	20178.69992	9423.825216	50.24	-9999999.99
112.6	20448.53068	9793.092102	50.249	-9999999.99
112.7	20730.93404	10186.04053	50.257	-9999999.99
112.8	21027.27528	10603.27435	50.266	-9999999.99
112.9	21338.91545	11045.29522	50.273	-9999999.99
113	21667.18159	11512.52788	50.282	-9999999.99
113.1	22013.37056	12005.30286	50.287	-9999999.99
113.2	22378.73371	12523.87187	50.294	-9999999.99
113.3	22764.45458	13068.40858	50.301	-9999999.99
113.4	23171.65869	13639.01964	50.31	-9999999.99
113.5	23601.38619	14235.74307	50.32	-9999999.99
113.6	24054.59256	14858.56067	50.328	-9999999.99
113.7	24532.13637	15507.39924	50.335	-9999999.99
113.8	25034.7841	16182.13651	50.339	-9999999.99
113.9	25563.20542	16882.60906	50.34	-9999999.99
114	26117.95682	17608.61559	50.343	-9999999.99
114.1	26699.50428	18359.92081	50.351	-9999999.99
114.2	27308.2121	19136.26343	50.362	-9999999.99
114.3	27944.34079	19937.35514	50.374	-9999999.99
114.4	28608.07577	20762.8922	50.383	-9999999.99
114.5	29299.49605	21612.55443	50.393	-9999999.99
114.6	30018.62269	22486.0106	50.404	-9999999.99
114.7	30765.38632	23382.92722	50.417	-9999999.99
114.8	31539.66378	24302.96233	50.429	-9999999.99
114.9	32341.28067	25245.77625	50.439	-9999999.99
115	33170.00109	26211.04007	50.445	-9999999.99
115.1	34025.56564	27198.42904	50.448	-9999999.99
115.2	34907.67103	28207.63485	50.455	-9999999.99
115.3	35816.00226	29238.35238	50.463	-9999999.99
115.4	36750.2108	30290.30661	50.475	-9999999.99
115.5	37709.96385	31363.24006	50.486	-9999999.99
115.6	38694.90974	32456.9148	50.499	-9999999.99
115.7	39704.7043	33571.11471	50.506	-9999999.99
115.8	40739.01327	34705.65996	50.507	-9999999.99
115.9	41797.51217	35860.38712	50.513	-9999999.99
116	42879.87877	37035.16022	50.516	-9999999.99
116.1	43985.83553	38229.8781	50.521	-9999999.99
116.2	45115.0881	39444.44552	50.525	-9999999.99
116.3	46267.39771	40678.80463	50.535	-9999999.99
116.4	47442.518	41932.91042	50.545	-9999999.99
116.5	48640.22172	43206.72806	50.557	-9999999.99
116.6	49860.30905	44500.23612	50.567	-9999999.99
116.7	51102.57601	45813.42861	50.574	-9999999.99
116.8	52366.85476	47146.28548	50.58	-9999999.99
116.9	53652.93291	48498.79071	50.582	-9999999.99
117	54960.6559	49870.91851	50.585	-9999999.99
117.1	56289.81114	51262.6227	50.588	-9999999.99
117.2	57640.20827	52673.84114	50.592	-9999999.99
117.3	59011.6207	54104.46563	50.602	-9999999.99
117.4	60403.79677	55554.37359	50.614	-9999999.99
117.5	61816.44999	57023.38437	50.628	-9999999.99
117.6	63249.28232	58511.26677	50.644	-9999999.99
117.7	64701.91812	60017.74329	50.655	-9999999.99
117.8	66173.9456	61542.45906	50.663	-9999999.99
117.9	67664.90034	63085.02128	50.664	-9999999.99
118	69174.25284	64644.93143	50.666	-9999999.99
118.1	70701.38973	66221.64237	50.667	-9999999.99
118.2	72245.67423	67814.51826	50.673	-9999999.99
118.3	73806.34332	69422.83696	50.682	-9999999.99
118.4	75382.61646	71045.80444	50.695	-9999999.99
118.5	76973.5614	72682.54664	50.707	-9999999.99
118.6	78578.25172	74332.09929	50.718	-9999999.99
118.7	80195.62667	75993.40543	50.727	-9999999.99
118.8	81824.55882	77665.36432	50.73	-9999999.99
118.9	83463.87411	79346.76537	50.732	-9999999.99
119	85112.31184	81036.32666	50.733	-9999999.99
119.1	86768.52738	82732.73253	50.739	-9999999.99
119.2	88431.13852	84434.56961	50.745	-9999999.99
119.3	90098.69625	86140.36786	50.755	-9999999.99
119.4	91769.69796	87848.62507	50.763	-9999999.99
119.5	93442.61231	89557.78232	50.768	-9999999.99
119.6	95115.84114	91266.24968	50.774	-9999999.99
119.7	96787.76163	92972.39323	50.78	-9999999.99
119.8	98456.75051	94674.59362	50.786	-9999999.99
119.9	100121.1474	96371.15856	50.787	-9999999.99
120	101779.2861	98060.43892	50.79	-9999999.99
120.1	103429.5079	99740.76863	50.791	-9999999.99
120.2	105070.1761	101410.4929	50.798	-9999999.99
120.3	106699.6143	103067.9778	50.808	-9999999.99
120.4	108316.2417	104711.6211	50.82	-9999999.99
120.5	109918.4675	106339.8428	50.836	-9999999.99
120.6	111504.7267	107951.0879	50.848	-9999999.99
120.7	113073.5358	109543.9053	50.859	-9999999.99
120.8	114623.4752	111116.8357	50.867	-9999999.99
120.9	116153.1375	112668.5238	50.875	-9999999.99
121	117661.2235	114197.6611	50.879	-9999999.99
121.1	119146.4446	115703.0061	50.884	-9999999.99
121.2	120607.6893	117183.412	50.887	-9999999.99
121.3	122043.8438	118637.8165	50.894	-9999999.99
121.4	123453.8691	120065.211	50.9	-9999999.99
121.5	124836.9056	121464.6895	50.905	-9999999.99
121.6	126192.0588	122835.4802	50.912	-9999999.99
121.7	127518.6663	124176.7843	50.918	-9999999.99
121.8	128816.0194	125488.023	50.927	-9999999.99
121.9	130083.6002	126768.6588	50.937	-9999999.99
122	131320.9026	128018.1893	50.95	-9999999.99
122.1	132527.5951	129236.311	50.962	-9999999.99
122.2	133703.3352	130422.7022	50.975	-9999999.99
122.3	134847.9625	131577.1813	50.986	-9999999.99
122.4	135961.342	132699.6375	50.993	-9999999.99
122.5	137043.401	133790.0132	50.999	-9999999.99
122.6	138094.1805	134848.366	51.006	-9999999.99
122.7	139113.7348	135874.7686	51.016	-9999999.99
122.8	140102.26	136869.3931	51.024	-9999999.99
122.9	141059.9486	137832.4155	51.033	-9999999.99
123	141986.9888	138764.1075	51.038	-9999999.99
123.1	142883.7261	139664.7968	51.042	-9999999.99
123.2	143750.4633	140534.7637	51.042	-9999999.99
123.3	144587.5562	141374.3784	51.043	-9999999.99
123.4	145395.3688	142184.0171	51.047	-9999999.99
123.5	146174.3031	142964.1102	51.052	-9999999.99
123.6	146924.7382	143715.0321	51.06	-9999999.99
123.7	147647.1026	144437.2039	51.068	-9999999.99
123.8	148341.789	145131.0342	51.077	-9999999.99
123.9	149009.2193	145796.9216	51.081	-9999999.99
124	149649.7683	146435.3143	51.085	-9999999.99
124.1	150263.7987	147046.5663	51.087	-9999999.99
124.2	150851.7091	147631.098	51.093	-9999999.99
124.3	151413.8528	148189.2318	51.097	-9999999.99
124.4	151950.5689	148721.3652	51.103	-9999999.99
124.5	152462.1716	149227.793	51.115	-9999999.99
124.6	152948.9777	149708.8638	51.127	-9999999.99
124.7	153411.2513	150164.8935	51.142	-9999999.99
124.8	153849.2912	150596.1408	51.155	-9999999.99
124.9	154263.3156	151002.9102	51.168	-9999999.99
125	154653.6072	151385.4438	51.179	-9999999.99
125.1	155020.3721	151744.0128	51.192	-9999999.99
125.2	155363.8244	152078.8122	51.205	-9999999.99
125.3	155684.1697	152390.1525	51.214	-9999999.99
125.4	155981.6104	152678.173	51.219	-9999999.99
125.5	156256.3129	152943.1047	51.223	-9999999.99
125.6	156508.4793	153185.2392	51.233	-9999999.99
125.7	156738.3284	153404.7273	51.251	-9999999.99
125.8	156946.0044	153601.8136	51.27	-9999999.99
125.9	157131.7203	153776.6949	51.288	-9999999.99
126	157295.6579	153929.5931	51.304	-9999999.99
126.1	157438.0484	154060.8067	51.315	-9999999.99
126.2	157559.0715	154170.5143	51.325	-9999999.99
126.3	157658.944	154259.0059	51.329	-9999999.99
126.4	157737.9601	154326.5447	51.331	-9999999.99
126.5	157796.3074	154373.4061	51.331	-9999999.99
126.6	157834.2691	154399.8848	51.333	-9999999.99
126.7	157852.1275	154406.3258	51.339	-9999999.99
126.8	157850.2131	154393.0157	51.344	-9999999.99
126.9	157828.8289	154360.3764	51.35	-9999999.99
127	157788.3519	154308.7739	51.359	-9999999.99
127.1	157729.1025	154238.6249	51.369	-9999999.99
127.2	157651.6115	154150.3535	51.382	-9999999.99
127.3	157556.2367	154044.4786	51.393	-9999999.99
127.4	157443.4699	153921.4766	51.407	-9999999.99
127.5	157313.8583	153781.9296	51.419	-9999999.99
127.6	157167.9246	153626.399	51.434	-9999999.99
127.7	157006.3737	153455.5561	51.45	-9999999.99
127.8	156829.728	153270.0515	51.463	-9999999.99
127.9	156638.774	153070.6452	51.475	-9999999.99
128	156434.3327	152858.1597	51.484	-9999999.99
128.1	156217.1624	152633.4024	51.497	-9999999.99
128.2	155988.2442	152397.3652	51.5	-9999999.99
128.3	155748.4897	152151.0304	51.51	-9999999.99
128.4	155499.0327	151895.4973	51.511	-9999999.99
128.5	155240.9762	151631.918	51.519	-9999999.99
128.6	154975.6386	151361.6074	51.519	-9999999.99
128.7	154704.3232	151085.9214	51.525	-9999999.99
128.8	154428.529	150806.3199	51.529	-9999999.99
128.9	154149.8434	150524.4237	51.539	-9999999.99
129	153870.009	150242.0032	51.546	-9999999.99
129.1	153590.8281	149960.847	51.556	-9999999.99
129.2	153314.3545	149683.0326	51.562	-9999999.99
129.3	153042.7545	149410.6535	51.571	-9999999.99
129.4	152778.3825	149146.1686	51.577	-9999999.99
129.5	152523.7132	148892.0547	51.589	-9999999.99
129.6	152281.564	148651.0359	51.598	-9999999.99
129.7	152054.8742	148426.0647	51.615	-9999999.99
129.8	151846.6961	148220.2844	51.633	-9999999.99
129.9	151660.4818	148037.0406	51.635	-9999999.99
130	151499.8902	147879.9688	51.645	-9999999.99
130.1	151368.838	147752.9587	51.65	-9999999.99
130.2	151271.4467	147660.1014	51.672	-9999999.99
130.3	151212.1004	147605.887	51.701	-9999999.99
130.4	151195.4232	147594.8276	51.714	-9999999.99
130.5	151226.4747	147631.8369	51.725	-9999999.99
130.6	151310.4775	147722.2408	51.735	-9999999.99
130.7	151452.8644	147871.3505	51.741	-9999999.99
130.8	151659.3507	148084.8586	51.756	-9999999.99
130.9	151935.9939	148368.8025	51.77	-9999999.99
131	152288.9236	148729.1771	51.771	-9999999.99
131.1	152724.5018	149172.2893	51.771	-9999999.99
131.2	153249.0803	149704.4327	51.781	-9999999.99
131.3	153869.2811	150332.2055	51.798	-9999999.99
131.4	154591.7683	151062.0081	51.806	-9999999.99
131.5	155423.026	151900.3924	51.823	-9999999.99
131.6	156369.6025	152853.6838	51.842	-9999999.99
131.7	157437.7806	153928.1407	51.846	-9999999.99
131.8	158633.6845	155129.8424	51.85	-9999999.99
131.9	159963.089	156464.2621	51.868	-9999999.99
132	161431.5079	157936.8194	51.881	-9999999.99
132.1	163043.8041	159552.3044	51.903	-9999999.99
132.2	164804.3771	161315.0454	51.927	-9999999.99
132.3	166717.1555	163228.7478	51.934	-9999999.99
132.4	168785.3108	165296.3076	51.941	-9999999.99
132.5	171011.3214	167520.3408	51.943	-9999999.99
132.6	173396.8388	169902.1957	51.943	-9999999.99
132.7	175942.899	172442.8132	51.947	-9999999.99
132.8	178649.4933	175142.136	51.952	-9999999.99
132.9	181516.0338	177999.4582	51.963	-9999999.99
133	184540.99	181013.0357	51.968	-9999999.99
133.1	187722.0185	184180.5413	51.987	-9999999.99
133.2	191056.0003	187498.8171	52.013	-9999999.99
133.3	194539.0766	190963.8874	52.021	-9999999.99
133.4	198166.6522	194571.1599	52.027	-9999999.99
133.5	201933.5834	198315.3754	52.03	-9999999.99
133.6	205833.8443	202190.7101	52.042	-9999999.99
133.7	209861.2059	206190.6654	52.051	-9999999.99
133.8	214008.5664	210308.3005	52.064	-9999999.99
133.9	218268.6122	214536.3336	52.081	-9999999.99
134	222633.5404	218867.0733	52.085	-9999999.99
134.1	227095.2375	223292.3947	52.091	-9999999.99
134.2	231645.4417	227804.066	52.098	-9999999.99
134.3	236275.6271	232393.7431	52.112	-9999999.99
134.4	240976.9249	237052.4634	52.117	-9999999.99
134.5	245740.5417	241771.7814	52.134	-9999999.99
134.6	250557.7573	246542.8318	52.154	-9999999.99
