
 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-21T08:54:10.722
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-21T08:51:30.013
 Solar longitude (130 km)                     [deg] :      199.05
 Planet to Sun distance (130 km)          [10^6 km] :     107.785
 North planetary latitude (130 km)            [deg] :      -51.12
 East planetary longitude (130 km)            [deg] :       45.29
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.86
 Sub-solar east planetary longitude (130 km)  [deg] :       93.31
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.20
 Solar zenith angle (130 km)                  [deg] :       64.44
 Electron density (130 km)               [10^6/m^3] :   183276.34

=============================================================================

Altitude	ELECTRON NUMBER DENSITY
833.078	3467.56
832.717	3356.78
832.355	3068.4
831.99	3179.18
831.629	3152.8
831.265	2996.31
830.902	3085.98
830.539	3400.74
830.177	3441.18
829.815	3242.48
829.451	3300.51
829.091	3043.78
828.727	2595.39
828.364	2530.33
827.999	2778.26
827.639	2808.16
827.275	2787.06
826.911	3049.06
826.549	3279.41
826.187	3119.39
825.825	2785.3
825.461	2765.96
825.1	2556.71
824.736	2259.54
824.373	2282.4
824.009	2449.44
823.649	2280.64
823.286	2015.12
822.922	2074.91
822.559	2205.03
822.198	2006.33
821.836	1649.37
821.471	1621.24
821.111	1389.13
820.747	1076.14
820.383	1153.51
820.019	1619.48
819.657	1874.45
819.295	1800.6
818.931	1930.72
818.571	1723.23
818.208	1283.63
817.845	1181.64
817.481	1276.6
817.12	1099
816.757	960.08
816.392	1264.29
816.028	1760.15
815.666	2020.4
815.303	2168.1
814.938	2616.49
814.578	2713.2
814.215	2537.36
813.853	2583.08
813.488	2802.88
813.128	2723.75
812.765	2614.73
812.401	2880.25
812.038	3210.83
811.676	3193.25
811.314	2968.17
810.95	3027.96
810.59	2846.84
810.226	2560.22
809.863	2639.35
809.5	3005.1
809.138	3087.74
808.776	2947.07
808.411	3195
808.05	3240.72
807.687	3070.16
807.325	3033.23
806.961	3020.92
806.601	2716.72
806.237	2558.47
805.872	2987.51
805.509	3609.99
805.147	3880.78
804.785	3857.92
804.421	4058.38
804.061	3919.46
803.698	3499.21
803.336	3321.61
802.972	3346.23
802.612	3131.7
802.249	2908.39
801.884	3089.5
801.521	3391.94
801.16	3406.01
800.797	3251.27
800.433	3363.81
800.073	3156.32
799.71	2714.96
799.348	2553.19
798.984	2741.34
798.622	2787.06
798.259	2681.55
797.895	2924.21
797.535	2876.73
797.172	2535.61
796.81	2393.18
796.446	2375.59
796.086	2057.32
795.723	1732.02
795.359	1802.36
794.996	2001.05
794.634	1950.06
794.271	1855.11
793.906	2178.65
793.546	2217.34
793.183	1923.68
792.822	1732.02
792.458	1579.04
792.098	1171.09
791.735	900.3
791.37	1188.68
791.007	1640.58
790.645	1717.95
790.283	1542.11
789.919	1635.31
789.559	1448.92
789.196	1055.04
788.833	958.33
788.469	1243.19
788.107	1411.99
787.745	1433.09
787.38	1807.63
787.02	1807.63
786.657	1454.19
786.296	1267.8
785.932	1200.98
785.572	819.41
785.209	427.29
784.845	504.66
784.482	794.79
784.12	877.44
783.757	851.06
783.393	1178.12
783.033	1197.47
782.669	958.33
782.307	981.18
781.943	1141.2
781.583	960.08
781.22	719.18
780.856	870.41
780.493	1165.82
780.132	1216.81
779.769	1200.98
779.404	1559.7
779.044	1633.55
778.681	1417.27
778.319	1341.66
777.956	1468.26
777.595	1378.58
777.232	1200.98
776.867	1550.9
776.506	1818.18
776.142	1953.58
775.78	2322.84
775.416	2681.55
775.057	2542.64
774.695	2271.85
774.331	2356.25
773.968	2616.49
773.606	2674.52
773.244	2612.98
772.88	2874.98
772.52	2848.6
772.157	2572.53
771.794	2525.06
771.431	2598.91
771.071	2336.91
770.708	2050.29
770.345	2155.79
769.982	2384.38
769.621	2292.95
769.259	2013.36
768.895	2064.36
768.535	1870.93
768.171	1519.25
767.809	1482.33
767.446	1719.71
767.084	1700.37
766.722	1492.88
766.357	1707.4
765.997	1767.19
765.633	1656.41
765.271	1783.01
764.907	2016.88
764.548	1855.11
764.185	1570.25
763.822	1566.73
763.46	1559.7
763.099	1288.9
762.736	1023.39
762.372	1200.98
762.012	1160.54
761.648	895.02
761.286	868.65
760.922	949.53
760.563	641.81
760.201	193.42
759.837	93.19
759.474	237.38
759.112	281.34
758.749	277.83
758.385	604.89
758.025	624.23
757.662	395.64
757.3	455.42
756.936	828.2
756.575	938.98
756.213	817.65
755.848	1053.28
755.488	1086.69
755.125	982.94
754.762	1199.23
754.398	1563.21
754.039	1517.5
753.676	1346.93
753.313	1482.33
752.951	1656.41
752.589	1570.25
752.227	1455.95
751.862	1797.08
751.502	1941.27
751.138	1897.31
750.775	2185.69
750.411	2695.62
750.051	2896.08
749.689	2976.96
749.325	3289.96
748.963	3620.54
748.602	3655.7
748.239	3652.19
747.875	4075.96
747.515	4213.12
747.152	4100.58
746.79	4234.22
746.427	4605.24
746.066	4622.82
745.705	4241.25
745.342	4054.86
744.983	3671.53
744.619	3284.68
744.256	3404.25
743.891	3850.89
743.531	4032
743.168	4151.57
742.804	4561.28
742.442	4923.51
742.081	4883.06
741.72	4670.3
741.356	4825.04
740.996	4779.32
740.633	4556
740.27	4649.2
739.906	4937.57
739.547	4861.96
739.185	4554.24
738.823	4411.81
738.461	4290.48
738.1	3952.87
737.737	3643.4
737.373	3806.93
737.013	3757.69
736.65	3462.28
736.288	3395.46
735.925	3585.37
735.564	3497.45
735.203	3135.22
734.839	3084.23
734.479	2839.81
734.116	2498.68
733.753	2535.61
733.389	2764.2
733.03	2623.53
732.667	2379.11
732.304	2451.2
731.942	2546.16
731.581	2270.09
731.22	1830.49
730.856	1751.36
730.496	1501.67
730.132	1185.16
729.77	1259.01
729.406	1535.08
729.046	1480.57
728.684	1285.39
728.321	1345.17
727.959	1406.72
727.598	1067.35
727.237	576.75
726.873	524
726.512	362.23
726.149	124.85
725.786	251.45
725.423	668.19
725.062	819.41
724.7	745.56
724.336	954.81
723.977	798.31
723.614	385.09
723.252	311.24
722.887	546.86
722.527	678.74
722.164	914.37
721.799	1499.91
721.437	2046.77
721.077	2104.8
720.716	1856.87
720.352	1839.28
719.993	1587.83
719.63	1222.08
719.268	1223.84
718.904	1494.64
718.544	1533.32
718.181	1533.32
717.818	1805.87
717.456	2048.53
717.095	1874.45
716.734	1496.39
716.37	1475.29
716.011	1250.22
715.648	877.44
715.286	814.14
714.923	1065.59
714.561	1104.27
714.199	970.63
713.835	1206.26
713.476	1167.57
713.113	863.37
712.752	761.39
712.388	773.69
712.029	522.24
711.666	330.58
711.302	573.24
710.94	880.96
710.579	814.14
710.217	569.72
709.854	645.33
709.495	455.42
709.131	103.75
708.769	116.05
708.405	348.16
708.046	297.17
707.683	211.01
707.319	499.38
706.957	896.78
706.596	984.7
706.234	923.16
705.87	1185.16
705.511	1114.82
705.148	775.45
704.786	775.45
704.423	1165.82
704.062	1341.66
703.7	1276.6
703.336	1517.5
702.977	1503.43
702.614	1294.18
702.252	1345.17
701.889	1506.94
701.53	1346.93
701.167	1185.16
700.804	1394.41
700.442	1684.54
700.081	1673.99
699.719	1559.7
699.355	1835.76
698.996	1798.84
698.633	1436.61
698.272	1283.63
697.908	1306.49
697.549	1121.86
697.186	974.15
696.823	1185.16
696.461	1415.51
696.1	1255.49
695.739	919.64
695.376	914.37
695.016	652.36
694.654	195.18
694.292	59.79
693.929	314.75
693.567	427.29
693.205	386.85
692.841	722.7
692.481	812.38
692.119	654.12
691.757	682.26
691.394	768.42
691.035	502.9
690.673	274.31
690.309	555.65
689.946	1011.08
689.585	1120.1
689.224	1033.94
688.86	1283.63
688.501	1276.6
688.138	1016.35
687.777	907.33
687.414	842.27
687.055	455.42
686.693	114.3
686.329	249.69
685.967	539.83
685.606	536.31
685.244	434.32
684.88	713.91
684.521	682.26
684.158	374.54
683.797	341.13
683.434	671.71
683.072	849.3
682.71	847.55
682.347	1104.27
681.988	961.84
681.626	532.79
681.265	358.71
680.902	311.24
680.543	-94.95
680.181	-520.49
679.817	-480.04
